driving_record_id,policy_id,customer_id,vehicle_id,observation_month,driving_score,avg_trip_distance,trips_per_week,hard_brakes_count,rapid_acceleration_count,night_driving_pct,weekend_driving_pct,distracted_driving_flag,speeding_events_count,urban_driving_pct,highway_driving_pct,mileage_logged
DRV002904,POL00280,CUST00260,VEH00286,2025-02-01,69.0,18.9,6,10,13,0.422,0.749,0,11,0.819,0.234,1113.0
DRV002905,POL00280,CUST00260,VEH00286,2025-03-01,71.0,4.22,8,11,4,0.251,0.6,0,12,0.369,0.609,1682.0
DRV002906,POL00280,CUST00260,VEH00286,2025-04-01,82.0,7.1,9,4,6,0.158,0.608,0,9,0.671,0.283,1280.0
DRV002907,POL00280,CUST00260,VEH00286,2025-06-01,88.0,5.53,6,9,7,0.065,0.346,0,3,0.79,0.15,582.0
DRV002908,POL00280,CUST00260,VEH00286,2025-12-01,71.0,5.49,11,5,2,0.342,0.264,0,7,0.658,0.416,798.0
DRV002909,POL00281,CUST00261,VEH00287,2025-01-01,69.0,5.88,7,13,4,0.286,0.249,0,8,0.767,0.463,1341.0
DRV002910,POL00281,CUST00261,VEH00287,2025-02-01,71.0,1.5,5,7,5,0.299,0.451,0,15,0.646,0.486,1584.0
DRV002911,POL00281,CUST00261,VEH00287,2025-03-01,80.0,8.24,5,5,8,0.178,0.375,1,5,0.58,0.372,1341.0
DRV002912,POL00281,CUST00261,VEH00287,2025-04-01,74.0,10.28,7,6,4,0.303,0.356,0,9,0.723,0.147,1472.0
DRV002913,POL00281,CUST00261,VEH00287,2025-05-01,77.0,16.63,8,9,9,0.176,0.359,0,5,0.671,0.288,1511.0
DRV002914,POL00281,CUST00261,VEH00287,2025-06-01,88.0,20.78,9,7,6,0.067,0.754,1,3,0.619,0.352,1878.0
DRV002915,POL00281,CUST00261,VEH00287,2025-07-01,84.0,1.84,6,5,6,0.103,0.512,0,3,0.822,0.086,1786.0
DRV002916,POL00281,CUST00261,VEH00287,2025-08-01,75.0,9.56,7,3,7,0.14,0.645,0,6,0.464,0.538,1233.0
DRV002917,POL00281,CUST00261,VEH00287,2025-11-01,68.0,9.2,5,15,10,0.386,0.467,0,9,0.586,0.39,1657.0
DRV002918,POL00281,CUST00261,VEH00287,2025-12-01,68.0,19.18,8,14,11,0.388,0.627,1,8,0.718,0.365,2083.0
DRV002919,POL00282,CUST00262,VEH00288,2025-01-01,74.0,13.8,9,2,6,0.187,0.278,1,4,0.471,0.527,635.0
DRV002920,POL00282,CUST00262,VEH00288,2025-03-01,70.0,17.54,7,17,11,0.223,0.435,0,6,0.717,0.309,1121.0
DRV002921,POL00282,CUST00262,VEH00288,2025-04-01,75.0,7.01,1,6,7,0.188,0.427,1,9,0.64,0.346,841.0
DRV002922,POL00282,CUST00262,VEH00288,2025-06-01,69.0,18.99,7,13,13,0.121,0.369,0,5,0.66,0.393,1033.0
DRV002923,POL00282,CUST00262,VEH00288,2025-07-01,75.0,21.33,4,3,4,0.354,0.431,0,11,0.313,0.683,1196.0
DRV002924,POL00282,CUST00262,VEH00288,2025-09-01,78.0,9.67,11,9,3,0.242,0.418,0,7,0.316,0.529,1037.0
DRV002925,POL00282,CUST00262,VEH00288,2025-10-01,67.0,4.32,13,15,9,0.284,0.454,0,15,0.432,0.537,1505.0
DRV002926,POL00282,CUST00262,VEH00288,2025-12-01,80.0,17.92,4,7,8,0.145,0.244,0,6,0.223,0.776,1416.0
DRV002927,POL00283,CUST00263,VEH00289,2025-01-01,77.0,8.96,4,10,2,0.107,0.249,0,3,0.472,0.646,1239.0
DRV002928,POL00283,CUST00263,VEH00289,2025-02-01,80.0,8.41,13,7,7,0.191,0.16,0,6,0.711,0.129,1229.0
DRV002929,POL00283,CUST00263,VEH00289,2025-03-01,95.0,8.67,5,8,4,0.436,0.702,0,2,0.781,0.169,1579.0
DRV002930,POL00283,CUST00263,VEH00289,2025-04-01,79.0,10.94,10,3,9,0.216,0.418,0,1,0.678,0.296,1161.0
DRV002931,POL00283,CUST00263,VEH00289,2025-05-01,77.0,11.31,11,9,0,0.206,0.346,0,0,0.917,0.087,1492.0
DRV002932,POL00283,CUST00263,VEH00289,2025-07-01,85.0,14.83,7,8,6,0.07,0.693,0,4,0.57,0.381,
DRV002933,POL00283,CUST00263,VEH00289,2025-08-01,91.0,6.92,9,6,9,0.319,0.382,1,7,0.493,0.572,1434.0
DRV002934,POL00283,CUST00263,VEH00289,2025-09-01,74.0,21.49,7,4,6,0.344,0.502,0,9,0.231,0.716,1500.0
DRV002935,POL00283,CUST00263,VEH00289,2025-11-01,80.0,14.13,11,9,5,0.311,0.297,0,2,0.664,0.424,999.0
DRV002936,POL00283,CUST00263,VEH00289,2025-12-01,72.0,9.27,9,6,8,0.337,0.606,0,8,0.481,0.482,1032.0
DRV002937,POL00284,CUST00264,VEH00290,2025-01-01,78.0,1.5,4,3,5,0.486,0.249,0,5,0.78,0.194,370.0
DRV002938,POL00284,CUST00264,VEH00290,2025-02-01,80.0,11.59,3,7,6,0.373,0.204,0,4,0.526,0.562,755.0
DRV002939,POL00284,CUST00264,VEH00290,2025-03-01,79.0,12.5,6,4,3,0.108,0.475,0,2,0.789,0.209,116.0
DRV002940,POL00284,CUST00264,VEH00290,2025-04-01,64.0,9.99,5,7,12,0.163,0.621,1,7,0.484,0.49,986.0
DRV002941,POL00284,CUST00264,VEH00290,2025-05-01,88.0,10.41,11,5,4,0.389,0.204,0,2,0.461,0.4,931.0
DRV002942,POL00284,CUST00264,VEH00290,2025-06-01,78.0,6.63,4,4,5,0.162,0.351,0,5,0.692,0.255,374.0
DRV002943,POL00284,CUST00264,VEH00290,2025-07-01,70.0,20.35,7,15,17,0.281,0.548,0,11,0.887,0.226,896.0
DRV002944,POL00284,CUST00264,VEH00290,2025-08-01,67.0,10.41,2,16,6,0.326,0.595,0,3,0.658,0.26,1016.0
DRV002945,POL00284,CUST00264,VEH00290,2025-09-01,76.0,4.14,6,11,2,0.352,0.491,0,3,0.644,0.422,774.0
DRV002946,POL00284,CUST00264,VEH00290,2025-10-01,70.0,13.39,7,15,11,0.071,0.245,0,7,0.399,0.581,676.0
DRV002947,POL00284,CUST00264,VEH00290,2025-11-01,72.0,9.44,17,3,5,0.126,0.607,1,6,0.525,0.461,244.0
DRV002948,POL00284,CUST00264,VEH00290,2025-12-01,73.0,8.34,7,9,1,0.104,0.175,1,9,0.927,0.073,723.0
DRV002949,POL00285,CUST00265,VEH00291,2025-02-01,84.0,20.44,8,9,10,0.111,0.398,0,4,0.614,0.364,330.0
DRV002950,POL00285,CUST00265,VEH00291,2025-03-01,85.0,12.59,8,6,12,0.486,0.315,0,4,0.749,0.198,279.0
DRV002951,POL00285,CUST00265,VEH00291,2025-04-01,67.0,8.34,8,13,17,0.462,0.229,0,9,0.766,0.18,475.0
DRV002952,POL00285,CUST00265,VEH00291,2025-05-01,79.0,11.85,3,6,3,0.176,0.799,0,3,0.775,0.259,607.0
DRV002953,POL00285,CUST00265,VEH00291,2025-06-01,62.0,23.42,14,15,4,0.254,0.505,0,8,0.721,0.244,448.0
DRV002954,POL00285,CUST00265,VEH00291,2025-08-01,80.0,11.95,5,7,7,0.146,0.137,1,2,0.54,0.466,50.0
DRV002955,POL00285,CUST00265,VEH00291,2025-09-01,71.0,7.23,6,3,3,0.214,0.136,0,9,0.581,0.542,478.0
DRV002956,POL00285,CUST00265,VEH00291,2025-10-01,87.0,13.43,9,6,7,0.299,0.22,0,7,0.508,0.539,542.0
DRV002957,POL00285,CUST00265,VEH00291,2025-11-01,75.0,7.69,7,4,3,0.316,0.413,0,8,0.607,0.422,718.0
DRV002958,POL00285,CUST00265,VEH00291,2025-12-01,86.0,15.68,6,7,8,0.14,0.464,1,6,0.494,0.519,749.0
DRV002959,POL00286,CUST00265,VEH00292,2025-02-01,69.0,12.56,4,8,10,0.245,0.105,0,6,0.876,0.177,1596.0
DRV002960,POL00286,CUST00265,VEH00292,2025-03-01,78.0,6.35,7,10,7,0.142,0.433,0,3,0.528,0.435,1765.0
DRV002961,POL00286,CUST00265,VEH00292,2025-07-01,87.0,9.0,4,5,8,0.206,0.239,0,7,0.695,0.315,1430.0
DRV002962,POL00286,CUST00265,VEH00292,2025-08-01,72.0,10.42,6,3,9,0.527,0.517,0,10,0.527,0.223,1881.0
DRV002963,POL00286,CUST00265,VEH00292,2025-09-01,85.0,14.12,1,6,2,0.109,0.442,0,4,0.654,0.3,1613.0
DRV002964,POL00286,CUST00265,VEH00292,2025-10-01,81.0,19.23,6,8,2,0.211,0.521,0,6,0.676,0.363,1707.0
DRV002965,POL00286,CUST00265,VEH00292,2025-11-01,91.0,19.91,6,12,7,0.248,0.566,0,2,0.558,0.475,1671.0
DRV002966,POL00286,CUST00265,VEH00292,2025-12-01,75.0,13.95,5,5,4,0.38,0.184,0,5,0.789,0.107,1446.0
DRV002967,POL00287,CUST00266,VEH00293,2025-02-01,78.0,11.12,3,9,6,0.148,0.689,0,3,0.453,0.539,1088.0
DRV002968,POL00287,CUST00266,VEH00293,2025-03-01,82.0,7.76,6,10,5,0.357,0.274,0,5,0.66,0.346,852.0
DRV002969,POL00287,CUST00266,VEH00293,2025-06-01,68.0,11.41,10,13,12,0.082,0.387,0,4,0.538,0.389,559.0
DRV002970,POL00287,CUST00266,VEH00293,2025-10-01,69.0,23.21,3,8,10,0.671,0.457,0,9,0.7,0.315,783.0
DRV002971,POL00287,CUST00266,VEH00293,2025-11-01,77.0,12.49,4,4,3,0.383,0.681,0,7,0.61,0.418,1260.0
DRV002972,POL00287,CUST00266,VEH00293,2025-12-01,86.0,11.96,4,10,6,0.159,0.247,0,1,0.503,0.592,840.0
DRV002973,POL00288,CUST00267,VEH00294,2025-01-01,73.0,8.89,6,8,3,0.227,0.587,0,7,0.427,0.5,658.0
DRV002974,POL00288,CUST00267,VEH00294,2025-02-01,72.0,14.14,6,5,2,0.317,0.241,0,11,0.49,0.455,887.0
DRV002975,POL00288,CUST00267,VEH00294,2025-03-01,68.0,8.41,12,11,16,0.335,0.845,0,13,0.264,0.679,893.0
DRV002976,POL00288,CUST00267,VEH00294,2025-04-01,75.0,8.66,4,7,8,0.223,0.353,1,9,0.702,0.334,818.0
DRV002977,POL00288,CUST00267,VEH00294,2025-05-01,91.0,22.07,7,7,7,0.441,0.269,1,2,0.797,0.276,761.0
DRV002978,POL00288,CUST00267,VEH00294,2025-06-01,74.0,10.34,8,10,3,0.199,0.485,0,10,0.552,0.49,1241.0
DRV002979,POL00288,CUST00267,VEH00294,2025-07-01,72.0,6.2,8,9,7,0.228,0.1,0,10,0.828,0.144,891.0
DRV002980,POL00288,CUST00267,VEH00294,2025-08-01,75.0,6.69,7,9,6,0.198,0.088,0,14,0.473,0.471,1120.0
DRV002981,POL00288,CUST00267,VEH00294,2025-09-01,82.0,9.64,8,6,3,0.068,0.193,0,4,0.684,0.4,583.0
DRV002982,POL00288,CUST00267,VEH00294,2025-10-01,77.0,13.18,15,9,10,0.126,0.491,0,4,0.893,0.142,906.0
DRV002983,POL00288,CUST00267,VEH00294,2025-11-01,71.0,13.19,4,10,5,0.03,0.73,0,15,0.836,0.159,1191.0
DRV002984,POL00288,CUST00267,VEH00294,2025-12-01,68.0,15.44,6,14,8,0.102,0.543,0,12,0.455,0.502,
DRV002985,POL00289,CUST00268,VEH00295,2025-01-01,68.0,17.18,6,17,10,0.304,0.69,0,9,0.763,0.218,702.0
DRV002986,POL00289,CUST00268,VEH00295,2025-02-01,85.0,9.09,11,11,5,0.207,0.55,0,4,0.444,0.521,930.0
DRV002987,POL00289,CUST00268,VEH00295,2025-03-01,79.0,3.96,9,5,6,0.298,0.439,1,1,0.858,0.08,718.0
DRV002988,POL00289,CUST00268,VEH00295,2025-05-01,71.0,12.62,8,8,6,0.142,0.232,1,6,0.781,0.176,1055.0
DRV002989,POL00289,CUST00268,VEH00295,2025-06-01,81.0,8.3,4,9,5,0.318,0.523,1,3,0.667,0.419,820.0
DRV002990,POL00289,CUST00268,VEH00295,2025-07-01,78.0,14.33,10,6,9,0.132,0.469,0,1,0.482,0.446,361.0
DRV002991,POL00289,CUST00268,VEH00295,2025-08-01,71.0,16.07,2,4,10,0.306,0.613,0,7,0.588,0.51,1250.0
DRV002992,POL00289,CUST00268,VEH00295,2025-12-01,78.0,11.83,4,6,9,0.161,0.687,0,3,0.772,0.086,1234.0
DRV002993,POL00290,CUST00269,VEH00296,2025-01-01,93.0,19.12,10,9,4,0.231,0.549,0,1,0.8,0.28,538.0
DRV002994,POL00290,CUST00269,VEH00296,2025-02-01,84.0,8.8,8,7,7,0.098,0.376,0,4,0.655,0.408,50.0
DRV002995,POL00290,CUST00269,VEH00296,2025-03-01,92.0,15.45,5,3,7,0.135,0.561,0,5,0.585,0.252,391.0
DRV002996,POL00290,CUST00269,VEH00296,2025-04-01,82.0,6.06,3,6,4,0.076,0.09,0,6,0.841,0.085,397.0
DRV002997,POL00290,CUST00269,VEH00296,2025-05-01,71.0,12.52,5,9,3,0.098,0.301,0,10,0.442,0.554,716.0
DRV002998,POL00290,CUST00269,VEH00296,2025-06-01,71.0,13.55,8,4,7,0.393,0.477,0,8,0.754,0.25,50.0
DRV002999,POL00290,CUST00269,VEH00296,2025-07-01,75.0,11.61,9,8,6,0.31,0.427,0,6,0.48,0.603,405.0
DRV003000,POL00290,CUST00269,VEH00296,2025-08-01,91.0,13.61,5,6,3,0.16,0.379,0,0,0.772,0.312,1073.0
DRV003001,POL00290,CUST00269,VEH00296,2025-09-01,82.0,8.39,7,4,6,0.048,0.605,0,1,0.89,0.067,439.0
DRV003002,POL00290,CUST00269,VEH00296,2025-10-01,91.0,8.05,6,10,9,0.107,0.339,0,4,0.213,0.504,301.0
DRV003003,POL00290,CUST00269,VEH00296,2025-11-01,87.0,17.88,5,7,13,0.124,0.556,1,3,0.683,0.421,417.0
DRV003004,POL00290,CUST00269,VEH00296,2025-12-01,85.0,9.66,7,5,4,0.169,0.662,1,6,0.651,0.237,838.0
DRV003005,POL00291,CUST00270,VEH00297,2025-01-01,69.0,7.33,4,11,9,0.026,0.378,0,7,0.728,0.351,845.0
DRV003006,POL00291,CUST00270,VEH00297,2025-05-01,70.0,19.82,11,11,13,0.366,0.532,0,7,0.547,0.414,1017.0
DRV003007,POL00291,CUST00270,VEH00297,2025-07-01,91.0,12.7,8,6,9,0.328,0.284,0,8,0.823,0.283,997.0
DRV003008,POL00291,CUST00270,VEH00297,2025-09-01,89.0,17.5,4,10,3,0.356,0.518,0,1,0.513,0.524,775.0
DRV003009,POL00291,CUST00270,VEH00297,2025-11-01,83.0,9.33,8,9,7,0.272,0.559,0,5,0.513,0.499,923.0
DRV003010,POL00291,CUST00270,VEH00297,2025-12-01,84.0,11.15,6,2,6,0.531,0.517,0,6,0.829,0.152,452.0
DRV003011,POL00292,CUST00270,VEH00298,2025-01-01,85.0,6.3,7,7,6,0.541,0.301,0,8,0.868,0.26,1278.0
DRV003012,POL00292,CUST00270,VEH00298,2025-02-01,64.0,12.05,7,11,13,0.092,0.121,0,7,0.844,0.092,1206.0
DRV003013,POL00292,CUST00270,VEH00298,2025-03-01,84.0,16.81,5,4,10,0.266,0.4,0,2,0.759,0.281,1456.0
DRV003014,POL00292,CUST00270,VEH00298,2025-04-01,87.0,14.35,4,7,1,0.065,0.443,0,6,0.596,0.414,1695.0
DRV003015,POL00292,CUST00270,VEH00298,2025-05-01,72.0,15.37,3,9,7,0.065,0.461,0,6,0.766,0.13,1773.0
DRV003016,POL00292,CUST00270,VEH00298,2025-06-01,81.0,7.12,7,4,12,0.152,0.68,0,3,0.868,0.264,1374.0
DRV003017,POL00292,CUST00270,VEH00298,2025-07-01,70.0,7.64,15,14,14,0.163,0.49,0,6,0.842,0.017,1415.0
DRV003018,POL00292,CUST00270,VEH00298,2025-08-01,71.0,12.11,9,7,5,0.207,0.609,0,6,0.348,0.665,1592.0
DRV003019,POL00292,CUST00270,VEH00298,2025-09-01,66.0,7.9,3,11,11,0.462,0.366,0,10,0.417,0.595,1166.0
DRV003020,POL00292,CUST00270,VEH00298,2025-10-01,85.0,10.57,7,3,2,0.285,0.535,0,2,0.609,0.509,1096.0
DRV003021,POL00292,CUST00270,VEH00298,2025-11-01,84.0,21.27,4,5,6,0.3,0.538,0,2,0.695,0.484,1393.0
DRV003022,POL00292,CUST00270,VEH00298,2025-12-01,91.0,7.76,10,3,8,0.129,0.518,0,3,0.789,0.238,1389.0
DRV003023,POL00293,CUST00271,VEH00299,2025-01-01,84.0,10.72,10,8,4,0.349,0.574,0,4,0.342,0.795,619.0
DRV003024,POL00293,CUST00271,VEH00299,2025-02-01,79.0,11.32,9,5,8,0.26,0.601,0,3,0.797,0.291,501.0
DRV003025,POL00293,CUST00271,VEH00299,2025-03-01,75.0,3.02,9,8,7,0.143,0.395,0,12,0.623,0.413,257.0
DRV003026,POL00293,CUST00271,VEH00299,2025-04-01,85.0,8.34,11,6,8,0.265,0.47,0,5,0.744,0.271,519.0
DRV003027,POL00293,CUST00271,VEH00299,2025-05-01,80.0,9.19,4,9,5,0.301,0.445,0,4,0.503,0.508,597.0
DRV003028,POL00293,CUST00271,VEH00299,2025-06-01,59.0,16.81,9,10,4,0.161,0.583,0,7,0.624,0.365,357.0
DRV003029,POL00293,CUST00271,VEH00299,2025-07-01,69.0,1.9,10,10,9,0.124,0.37,0,8,0.341,0.629,655.0
DRV003030,POL00293,CUST00271,VEH00299,2025-08-01,68.0,5.65,5,12,12,0.282,0.16,0,6,0.673,0.24,548.0
DRV003031,POL00293,CUST00271,VEH00299,2025-09-01,80.0,14.26,4,8,6,0.36,0.45,0,2,0.759,0.212,196.0
DRV003032,POL00293,CUST00271,VEH00299,2025-10-01,64.0,9.17,5,9,12,0.062,0.614,1,10,0.716,0.23,322.0
DRV003033,POL00293,CUST00271,VEH00299,2025-11-01,72.0,8.95,9,6,7,0.135,0.196,1,7,0.852,0.147,806.0
DRV003034,POL00293,CUST00271,VEH00299,2025-12-01,78.0,20.03,7,6,4,0.266,0.496,0,1,0.69,0.312,564.0
DRV003035,POL00294,CUST00272,VEH00300,2025-01-01,85.0,17.38,6,3,8,0.411,0.443,0,1,0.684,0.264,1470.0
DRV003036,POL00294,CUST00272,VEH00300,2025-02-01,92.0,4.94,5,5,8,0.211,0.524,0,4,0.514,0.421,1173.0
DRV003037,POL00294,CUST00272,VEH00300,2025-03-01,70.0,7.18,9,12,15,0.275,0.492,0,6,0.708,0.385,1590.0
DRV003038,POL00294,CUST00272,VEH00300,2025-04-01,73.0,14.95,8,8,3,0.33,0.345,0,8,0.382,0.623,775.0
DRV003039,POL00294,CUST00272,VEH00300,2025-05-01,76.0,12.88,5,14,3,0.165,0.069,0,3,0.61,0.476,1363.0
DRV003040,POL00294,CUST00272,VEH00300,2025-06-01,77.0,11.55,2,11,6,0.171,0.467,1,3,0.633,0.305,1380.0
DRV003041,POL00294,CUST00272,VEH00300,2025-07-01,87.0,7.41,5,7,7,0.188,0.38,0,4,0.478,0.474,
DRV003042,POL00294,CUST00272,VEH00300,2025-08-01,80.0,14.93,5,9,8,0.192,0.7,0,2,0.736,0.344,1653.0
DRV003043,POL00294,CUST00272,VEH00300,2025-09-01,84.0,11.04,5,8,4,0.115,0.68,0,6,0.534,0.497,1536.0
DRV003044,POL00294,CUST00272,VEH00300,2025-10-01,81.0,17.1,3,6,7,0.1,0.337,0,4,0.523,0.528,1396.0
DRV003045,POL00294,CUST00272,VEH00300,2025-11-01,78.0,10.39,9,8,3,0.182,0.369,0,7,0.355,0.726,1203.0
DRV003046,POL00294,CUST00272,VEH00300,2025-12-01,76.0,10.4,7,7,9,0.16,0.521,0,2,0.546,0.394,1615.0
DRV003047,POL00295,CUST00273,VEH00301,2025-01-01,79.0,15.81,11,5,6,0.185,0.495,0,5,0.418,0.687,249.0
DRV003048,POL00295,CUST00273,VEH00301,2025-02-01,85.0,12.35,10,5,8,0.425,0.381,0,0,0.631,0.421,833.0
DRV003049,POL00295,CUST00273,VEH00301,2025-03-01,73.0,15.95,2,7,5,0.193,0.672,0,14,0.559,0.455,748.0
DRV003050,POL00295,CUST00273,VEH00301,2025-06-01,69.0,11.05,14,9,12,0.07,0.389,1,9,0.334,0.642,617.0
DRV003051,POL00295,CUST00273,VEH00301,2025-08-01,72.0,10.31,5,4,8,0.397,0.119,0,7,0.762,0.246,1183.0
DRV003052,POL00295,CUST00273,VEH00301,2025-09-01,96.0,14.53,7,2,6,0.242,0.323,1,2,0.76,0.294,171.0
DRV003053,POL00295,CUST00273,VEH00301,2025-10-01,81.0,15.76,11,11,9,0.197,0.496,0,3,0.915,0.032,1110.0
DRV003054,POL00295,CUST00273,VEH00301,2025-11-01,89.0,21.54,9,5,6,0.341,0.423,0,9,0.729,0.245,
DRV003055,POL00296,CUST00274,VEH00302,2025-02-01,68.0,19.34,8,8,11,0.09,0.479,0,9,0.362,0.594,856.0
DRV003056,POL00296,CUST00274,VEH00302,2025-04-01,71.0,15.45,8,4,4,0.223,0.482,0,12,0.911,0.051,692.0
DRV003057,POL00296,CUST00274,VEH00302,2025-05-01,81.0,6.16,8,6,2,0.24,0.439,0,5,0.773,0.207,556.0
DRV003058,POL00296,CUST00274,VEH00302,2025-07-01,78.0,12.52,10,7,4,0.398,0.54,0,2,0.64,0.343,905.0
DRV003059,POL00296,CUST00274,VEH00302,2025-10-01,88.0,8.79,11,3,6,0.195,0.426,0,5,0.554,0.269,345.0
DRV003060,POL00296,CUST00274,VEH00302,2025-11-01,83.0,9.66,11,2,6,0.166,0.57,0,5,0.876,0.061,
DRV003061,POL00297,CUST00275,VEH00303,2025-01-01,80.0,16.42,7,8,2,0.182,0.608,0,7,0.503,0.595,1210.0
DRV003062,POL00297,CUST00275,VEH00303,2025-02-01,74.0,20.42,8,7,6,0.4,0.546,0,7,0.872,0.184,1393.0
DRV003063,POL00297,CUST00275,VEH00303,2025-03-01,85.0,16.88,5,10,4,0.184,0.429,0,6,0.714,0.266,1497.0
DRV003064,POL00297,CUST00275,VEH00303,2025-04-01,66.0,15.5,4,11,16,0.381,0.533,0,15,0.841,0.09,1299.0
DRV003065,POL00297,CUST00275,VEH00303,2025-06-01,68.0,12.8,10,10,13,0.524,0.197,0,4,0.5,0.527,1162.0
DRV003066,POL00297,CUST00275,VEH00303,2025-07-01,80.0,19.92,7,8,7,0.184,0.303,0,4,0.936,0.104,
DRV003067,POL00297,CUST00275,VEH00303,2025-08-01,87.0,10.69,4,6,4,0.342,0.308,1,3,0.576,0.418,
DRV003068,POL00297,CUST00275,VEH00303,2025-10-01,92.0,8.74,4,5,10,0.246,0.419,0,6,0.857,0.11,850.0
DRV003069,POL00297,CUST00275,VEH00303,2025-11-01,91.0,22.67,9,8,7,0.044,0.44,0,8,0.538,0.393,655.0
DRV003070,POL00297,CUST00275,VEH00303,2025-12-01,88.0,9.94,7,8,7,0.05,0.302,0,1,0.762,0.274,
DRV003071,POL00298,CUST00275,VEH00304,2025-01-01,70.0,7.5,11,10,9,0.342,0.512,0,10,0.619,0.402,453.0
DRV003072,POL00298,CUST00275,VEH00304,2025-02-01,77.0,5.78,10,7,10,0.34,0.501,0,5,0.576,0.431,197.0
DRV003073,POL00298,CUST00275,VEH00304,2025-03-01,65.0,12.91,6,10,9,0.13,0.398,0,7,0.689,0.369,562.0
DRV003074,POL00298,CUST00275,VEH00304,2025-04-01,87.0,1.5,11,4,5,0.122,0.323,0,5,0.644,0.343,375.0
DRV003075,POL00298,CUST00275,VEH00304,2025-05-01,85.0,9.33,9,3,9,0.26,0.375,0,2,0.718,0.147,668.0
DRV003076,POL00298,CUST00275,VEH00304,2025-08-01,78.0,9.84,7,6,8,0.15,0.248,0,3,0.33,0.696,478.0
DRV003077,POL00298,CUST00275,VEH00304,2025-10-01,78.0,11.93,7,2,5,0.091,0.398,1,3,0.825,0.28,492.0
DRV003078,POL00298,CUST00275,VEH00304,2025-12-01,58.0,9.97,8,9,8,0.255,0.511,0,8,0.549,0.435,723.0
DRV003079,POL00299,CUST00275,VEH00305,2025-01-01,78.0,14.14,8,9,5,0.075,0.456,1,5,0.345,0.733,
DRV003080,POL00299,CUST00275,VEH00305,2025-02-01,94.0,3.66,3,9,3,0.071,0.178,0,4,0.568,0.481,1353.0
DRV003081,POL00299,CUST00275,VEH00305,2025-03-01,75.0,16.97,7,10,4,0.202,0.829,0,4,0.645,0.536,796.0
DRV003082,POL00299,CUST00275,VEH00305,2025-06-01,80.0,14.88,4,2,8,0.457,0.386,0,5,0.824,0.139,1498.0
DRV003083,POL00299,CUST00275,VEH00305,2025-07-01,88.0,7.93,6,8,6,0.288,0.222,0,8,0.564,0.493,1210.0
DRV003084,POL00299,CUST00275,VEH00305,2025-09-01,77.0,20.54,1,11,4,0.158,0.71,0,2,0.661,0.289,482.0
DRV003085,POL00299,CUST00275,VEH00305,2025-11-01,71.0,15.13,5,8,5,0.206,0.31,0,10,0.656,0.328,847.0
DRV003086,POL00299,CUST00275,VEH00305,2025-12-01,90.0,14.85,10,3,7,0.33,0.315,0,6,0.472,0.501,
DRV003087,POL00300,CUST00276,VEH00306,2025-02-01,83.0,15.81,10,4,8,0.149,0.458,0,1,0.733,0.474,50.0
DRV003088,POL00300,CUST00276,VEH00306,2025-03-01,83.0,8.63,3,10,3,0.617,0.468,0,9,0.827,0.331,317.0
DRV003089,POL00300,CUST00276,VEH00306,2025-05-01,76.0,3.93,9,10,4,0.171,0.749,0,6,0.215,0.771,309.0
DRV003090,POL00300,CUST00276,VEH00306,2025-06-01,78.0,1.5,5,7,5,0.134,0.252,0,3,0.731,0.264,371.0
DRV003091,POL00300,CUST00276,VEH00306,2025-07-01,83.0,7.82,9,7,8,0.085,0.222,0,1,0.744,0.33,639.0
DRV003092,POL00300,CUST00276,VEH00306,2025-08-01,88.0,5.84,7,6,8,0.206,0.426,0,4,0.365,0.686,346.0
DRV003093,POL00300,CUST00276,VEH00306,2025-09-01,78.0,3.99,2,7,6,0.675,0.401,0,3,0.583,0.331,339.0
DRV003094,POL00300,CUST00276,VEH00306,2025-10-01,70.0,10.52,7,17,5,0.225,0.647,1,12,0.458,0.63,261.0
DRV003095,POL00300,CUST00276,VEH00306,2025-11-01,83.0,12.21,6,6,4,0.362,0.277,0,5,0.502,0.454,274.0
DRV003096,POL00300,CUST00276,VEH00306,2025-12-01,92.0,16.03,5,6,8,0.144,0.448,0,3,0.87,0.069,446.0
DRV003097,POL00301,CUST00277,VEH00307,2025-01-01,63.0,5.03,7,9,11,0.124,0.361,0,15,0.424,0.571,913.0
DRV003098,POL00301,CUST00277,VEH00307,2025-02-01,93.0,15.4,12,12,5,0.454,0.316,0,5,0.729,0.345,801.0
DRV003099,POL00301,CUST00277,VEH00307,2025-03-01,74.0,16.09,9,9,7,0.294,0.6,0,5,0.756,0.251,800.0
DRV003100,POL00301,CUST00277,VEH00307,2025-04-01,96.0,4.02,8,3,1,0.219,0.372,0,4,0.362,0.536,528.0
DRV003101,POL00301,CUST00277,VEH00307,2025-05-01,73.0,14.5,2,8,5,0.162,0.277,0,12,0.738,0.45,1066.0
DRV003102,POL00301,CUST00277,VEH00307,2025-06-01,94.0,7.94,8,4,10,0.505,0.25,0,3,0.523,0.45,592.0
DRV003103,POL00301,CUST00277,VEH00307,2025-07-01,78.0,20.32,6,6,1,0.398,0.336,0,3,0.504,0.509,1026.0
DRV003104,POL00301,CUST00277,VEH00307,2025-08-01,85.0,15.21,7,8,2,0.184,0.371,0,1,0.597,0.289,780.0
DRV003105,POL00301,CUST00277,VEH00307,2025-09-01,94.0,12.02,3,5,4,0.181,0.218,0,4,0.416,0.741,939.0
DRV003106,POL00301,CUST00277,VEH00307,2025-10-01,86.0,6.19,9,9,8,0.448,0.494,1,5,0.689,0.295,693.0
